"No.","Time","Source","Destination","Protocol","Length","Info"
"14811","7.690444767","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=13727 Ack=1612 Win=32128 Len=1448 TSval=1405835172 TSecr=4266363477"
"14812","7.690444867","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=15175 Ack=1612 Win=32128 Len=1448 TSval=1405835172 TSecr=4266363477"
"14813","7.690457456","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=16623 Win=66944 Len=0 TSval=4266363477 TSecr=1405835172"
"14814","7.690444967","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=16623 Ack=1612 Win=32128 Len=1448 TSval=1405835172 TSecr=4266363477"
"14815","7.690445081","172.17.0.2","172.17.0.1","TCP","1047","8443  >  55694 [PSH, ACK] Seq=18071 Ack=1612 Win=32128 Len=981 TSval=1405835172 TSecr=4266363477"
"14816","7.690464201","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=19052 Win=72704 Len=0 TSval=4266363477 TSecr=1405835172"
"14817","7.690471341","172.17.0.2","172.17.0.1","TCP","104","8443  >  55694 [PSH, ACK] Seq=19052 Ack=1612 Win=32128 Len=38 TSval=1405835172 TSecr=4266363477"
"14818","7.690562402","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=19090 Ack=1612 Win=32128 Len=1448 TSval=1405835172 TSecr=4266363477"
"14819","7.690566888","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=20538 Win=75648 Len=0 TSval=4266363477 TSecr=1405835172"
"14820","7.690562570","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=20538 Ack=1612 Win=32128 Len=1448 TSval=1405835172 TSecr=4266363477"
"14821","7.690562689","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=21986 Ack=1612 Win=32128 Len=1448 TSval=1405835172 TSecr=4266363477"
"14822","7.690578979","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=23434 Win=81408 Len=0 TSval=4266363477 TSecr=1405835172"
"14823","7.690562814","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=23434 Ack=1612 Win=32128 Len=1448 TSval=1405835172 TSecr=4266363477"
"14824","7.690562913","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=24882 Ack=1612 Win=32128 Len=1448 TSval=1405835172 TSecr=4266363477"
"14825","7.690585126","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=26330 Win=87168 Len=0 TSval=4266363478 TSecr=1405835172"
"14826","7.690563026","172.17.0.2","172.17.0.1","TCP","1047","8443  >  55694 [PSH, ACK] Seq=26330 Ack=1612 Win=32128 Len=981 TSval=1405835172 TSecr=4266363477"
"14827","7.690605380","172.17.0.2","172.17.0.1","TCP","104","8443  >  55694 [PSH, ACK] Seq=27311 Ack=1612 Win=32128 Len=38 TSval=1405835173 TSecr=4266363478"
"14828","7.690613225","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=27349 Win=90112 Len=0 TSval=4266363478 TSecr=1405835172"
"14829","7.690705425","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=27349 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14830","7.690705590","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=28797 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14831","7.690712877","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=30245 Win=95872 Len=0 TSval=4266363478 TSecr=1405835173"
"14832","7.690705711","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=30245 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14833","7.690705816","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=31693 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14834","7.690718194","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=33141 Win=101632 Len=0 TSval=4266363478 TSecr=1405835173"
"14835","7.690705922","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=33141 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14836","7.690706030","172.17.0.2","172.17.0.1","TCP","1047","8443  >  55694 [PSH, ACK] Seq=34589 Ack=1612 Win=32128 Len=981 TSval=1405835173 TSecr=4266363478"
"14837","7.690722641","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=35570 Win=107392 Len=0 TSval=4266363478 TSecr=1405835173"
